Date,CAU,Account,Region,Product,Operation,UsageType,Cost
2017-08-10T18:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,9.6
2017-08-10T18:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T18:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,56.0
2017-08-10T19:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,2.4
2017-08-10T19:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T19:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,8.0
2017-08-10T20:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,2.4
2017-08-10T20:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T20:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,8.0
2017-08-10T21:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,2.4
2017-08-10T21:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T21:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,8.0
2017-08-10T22:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,2.4
2017-08-10T22:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T22:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,8.0
2017-08-10T23:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,2.4
2017-08-10T23:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-10T23:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,8.0
2017-08-11T00:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,2.4
2017-08-11T00:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-11T00:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,8.0
2017-08-11T01:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,1.92
2017-08-11T01:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T01:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,6.4
2017-08-11T02:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,1.92
2017-08-11T02:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T02:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,6.4
2017-08-11T03:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,1.92
2017-08-11T03:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T03:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,6.4
2017-08-11T04:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,1.92
2017-08-11T04:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T04:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,6.4
2017-08-11T05:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,1.92
2017-08-11T05:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T05:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,6.4
2017-08-11T06:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,1.92
2017-08-11T06:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T06:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,6.4
2017-08-11T07:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,1.92
2017-08-11T07:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T07:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,6.4
2017-08-11T08:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,192.0
2017-08-11T08:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,7.68
2017-08-11T08:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T08:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,44.800000000000004
2017-08-11T09:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,192.0
2017-08-11T09:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,7.68
2017-08-11T09:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T09:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,44.800000000000004
2017-08-11T10:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,192.0
2017-08-11T10:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,7.68
2017-08-11T10:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T10:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,44.800000000000004
2017-08-11T11:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,192.0
2017-08-11T11:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,7.68
2017-08-11T11:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.72
2017-08-11T11:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,44.800000000000004
2017-08-11T12:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,r3.8xlarge,240.0
2017-08-11T12:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,OnDemand,t2.micro,9.6
2017-08-11T12:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,datatransfert,bytes-out,0.8999999999999999
2017-08-11T12:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,OnDemand,m4.2xlarge,56.0
2017-08-11T13:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,120.0
2017-08-11T13:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,4.8
2017-08-11T13:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T13:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,28.0
2017-08-11T14:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,120.0
2017-08-11T14:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,4.8
2017-08-11T14:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T14:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,28.0
2017-08-11T15:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,120.0
2017-08-11T15:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,4.8
2017-08-11T15:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T15:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,28.0
2017-08-11T16:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,120.0
2017-08-11T16:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,4.8
2017-08-11T16:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T16:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,28.0
2017-08-11T17:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,120.0
2017-08-11T17:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,4.8
2017-08-11T17:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T17:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,28.0
2017-08-11T18:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,120.0
2017-08-11T18:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,4.8
2017-08-11T18:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T18:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,28.0
2017-08-11T19:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,1.2
2017-08-11T19:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T19:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,4.0
2017-08-11T20:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,1.2
2017-08-11T20:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T20:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,4.0
2017-08-11T21:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,1.2
2017-08-11T21:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T21:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,4.0
2017-08-11T22:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,1.2
2017-08-11T22:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T22:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,4.0
2017-08-11T23:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,1.2
2017-08-11T23:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-11T23:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,4.0
2017-08-12T00:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,1.2
2017-08-12T00:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-12T00:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,4.0
2017-08-12T01:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,0.96
2017-08-12T01:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T01:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,3.2
2017-08-12T02:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,0.96
2017-08-12T02:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T02:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,3.2
2017-08-12T03:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,0.96
2017-08-12T03:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T03:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,3.2
2017-08-12T04:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,0.96
2017-08-12T04:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T04:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,3.2
2017-08-12T05:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,0.96
2017-08-12T05:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T05:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,3.2
2017-08-12T06:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,0.96
2017-08-12T06:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T06:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,3.2
2017-08-12T07:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,0.96
2017-08-12T07:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T07:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,3.2
2017-08-12T08:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,96.0
2017-08-12T08:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,3.84
2017-08-12T08:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T08:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,22.400000000000002
2017-08-12T09:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,96.0
2017-08-12T09:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,3.84
2017-08-12T09:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T09:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,22.400000000000002
2017-08-12T10:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,96.0
2017-08-12T10:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,3.84
2017-08-12T10:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T10:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,22.400000000000002
2017-08-12T11:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,96.0
2017-08-12T11:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,3.84
2017-08-12T11:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.36
2017-08-12T11:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,22.400000000000002
2017-08-12T12:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,r3.8xlarge,120.0
2017-08-12T12:00:00,PROD/ProjectA/Frontend,492743284828,eu-west-1,ec2_instance,Reserved,t2.micro,4.8
2017-08-12T12:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2,Reserved,bytes-out,0.44999999999999996
2017-08-12T12:00:00,DEV/ProjectB/Backend,492743284828,eu-west-1,ec2_instance,Reserved,m4.2xlarge,28.0
